tsne_comp1,tsne_comp2
2.2863584,-4.3999777
5.743279,-2.213016
13.8216095,-0.6982638
-9.265447,-6.452972
10.460088,-0.9054434
1.9710582,-5.368851
9.763764,-0.60474557
3.8617718,-1.412182
15.399386,1.7203774
1.5055846,-6.4826117
13.048152,-0.021555206
9.243809,-2.4001997
11.510567,0.31591123
4.018744,-6.664897
14.141526,0.23240343
18.850523,0.89642346
3.5171578,-6.0054235
12.503118,-1.1940671
-8.100594,-5.984813
4.116656,-5.411891
6.1973205,-3.6785975
-0.23691393,-10.8164835
1.4266853,-10.446975
-0.9211022,-12.575895
-5.3554893,-10.425175
-0.59980476,-11.08828
-5.1302905,-11.384817
-3.4456053,-11.665151
-2.7500968,-12.404555
0.9851903,-9.815025
1.6349587,-11.085081
4.1667666,-8.390097
-2.14047,-11.9322405
-3.8662267,-10.9066515
2.4021847,-10.442017
2.6076796,-8.8990965
-1.9742811,-10.36608
-0.28083378,-9.773922
-0.9198852,-10.345643
-1.508422,-11.690337
-2.1510615,-11.027323
-1.4871466,-12.407778
-3.0422266,-11.195707
-0.39712128,-11.7510195
-2.5073664,-11.497495
2.6374362,-9.455697
-5.773842,-11.160918
0.97821116,-10.657105
-0.42510328,-10.164362
-4.497166,-11.286741
-3.438233,-12.23389
1.779463,-9.468675
-1.2829543,-10.761418
0.0572884,-8.939515
-1.3548195,-9.850672
-2.9281602,-10.42814
-13.858896,1.2238832
-11.20948,-2.1191182
-14.148393,1.7613628
-13.800766,3.287203
-12.347087,4.7503095
-15.388605,2.9651043
-11.592457,4.394941
-12.034728,-1.6833372
-14.0815,-0.6227907
-12.766677,-1.2853063
-11.809888,-2.7688494
-11.360076,-3.6386237
-11.070501,-3.2697601
-15.423554,3.4810388
-10.522231,3.1897533
-7.708918,2.3285065
-12.3441105,-0.2777199
-15.87498,2.5362782
-11.822111,5.7354307
-14.342256,2.6283114
-5.2390738,1.9335103
-12.826827,3.195836
-10.833217,2.4119034
-10.810162,1.5076449
-9.468023,2.166942
-9.974688,-2.7464695
-14.306912,5.0397673
-8.909202,1.613497
-10.732486,-4.849015
-12.523488,-2.287224
-14.854649,4.7731824
-11.431186,6.524006
-14.284338,1.0183188
-13.36233,-0.8187207
-13.462991,4.2065506
